"age","locfit","cu95","cl95","nsites","window","nsamples","Region"
-60,0.0599825182890558,1.04573327020494,-0.942997503423352,0,0,7,"CEAM"
-50,0.0599825182890558,1.04573327020494,-0.942997503423352,7,10,8,"CEAM"
-40,-0.0318964343535732,1.02944775303096,-1.19767797056565,7,20,8,"CEAM"
-30,0.372331154478647,1.51724162800206,-1.22635210212506,4,20,10,"CEAM"
-20,0.309783311901698,0.717637166954619,-0.262394709699617,7,20,8,"CEAM"
-10,0.22534894808829,0.731996930521457,-0.336658154505217,6,20,12,"CEAM"
0,-0.407203007227154,0.400671136429379,-1.01304083891672,7,20,15,"CEAM"
10,-0.172971290165278,0.311943743520804,-0.775999985246407,11,20,14,"CEAM"
20,-0.0147405451267271,0.365212832828115,-0.363449511014168,12,20,13,"CEAM"
30,-0.245023758635448,0.149637898720513,-0.635967099738455,8,20,14,"CEAM"
40,-0.543533522263127,0.00290693106406181,-1.00700875697181,9,20,14,"CEAM"
50,0.227789288378196,0.862466829663585,-0.439114582205434,12,20,16,"CEAM"
60,0.176967332861798,0.654644988279942,-0.177290516285225,12,20,17,"CEAM"
70,-0.305591609726637,0.0333886803697392,-0.677003946864891,12,20,15,"CEAM"
80,-0.18748956250251,0.271804299923969,-0.658210935242624,10,20,13,"CEAM"
90,0.399143514378685,0.744976689697829,0.0560775559313661,9,20,13,"CEAM"
100,-0.0620159182944897,0.518699826478676,-0.433905774465768,9,20,12,"CEAM"
110,-0.217425338426335,0.344879452557493,-0.699593211682039,8,20,17,"CEAM"
120,-0.219500971273845,0.241925761578585,-0.661122190376981,14,20,17,"CEAM"
130,-0.184376663302098,0.322041919211465,-0.63671761063917,15,20,15,"CEAM"
140,-0.29013301123318,0.240007788574739,-0.927154315378152,7,20,17,"CEAM"
150,0.0706974287204576,0.556178600128186,-0.469091360145665,9,20,11,"CEAM"
160,0.172263189775832,0.667080383259195,-0.355944873591643,9,20,13,"CEAM"
170,0.167319365613609,1.03102236440592,-0.643186834518696,8,20,14,"CEAM"
180,0.436731280771693,1.08689528698025,-0.123911706293602,10,20,13,"CEAM"
190,0.28362383178528,0.918661597152871,-0.623654850495762,9,20,14,"CEAM"
200,-0.257776366297619,0.445826965920476,-1.21330781975392,7,20,13,"CEAM"
