"age","locfit","cu95","cl95","nsites","window","ninwin"
-60,0.245422104088489,0.654572705249209,-0.559343962577344,1,10,1
-50,0.30425491519364,0.654572705249209,-0.559343962577344,1,20,1
-40,0.351650724371173,0.654572705249209,-0.559343962577344,1,20,2
-30,0.0094107211700597,0.654572705249209,-0.559343962577344,2,20,2
-20,0.0148759830121332,0.654572705249209,-0.555499874071223,2,20,2
-10,-0.0638611646245654,0.654572705249209,-0.514154653417431,2,20,4
0,0.089667375035172,0.654572705249209,-0.500012555863663,4,20,4
10,0.0684290574031952,0.97911093363164,-0.548082000522555,3,20,4
20,0.107240139757515,0.960383522434429,-0.149047216758257,2,20,4
30,0.590363738872058,0.951534262140938,0.285183164645321,3,20,5
40,0.335392804460551,0.819285340016951,-0.20157910898032,5,20,5
50,0.479461597908849,1.40643136551257,-0.5138076671584,4,20,5
60,0.397539527169068,1.43391000404479,-0.382324830015184,3,20,4
70,-0.0626524405576371,1.46529014334497,-1.21732762187131,3,20,3
80,-0.774956804035268,1.31586902474169,-2.99196566529187,2,20,3
90,-0.852106630477079,1.49953153143959,-0.866619900048543,1,20,4
100,0.375601114940922,1.57807529032479,-0.857583810316367,3,20,4
110,0.469707315051668,1.54689477834081,-0.760884527189262,3,20,5
120,-0.450591003350797,0.342909652712538,-1.14648261584829,5,20,6
130,-0.92007706587983,0.0895945384630039,-1.2970054094331,5,20,6
140,-0.868202364039014,-0.48199881196827,-1.45772752637664,3,20,5
150,-0.549894905970147,-0.503445478316786,-1.78760600246051,1,20,4
160,-1.38531080108263,-0.818596498502546,-1.88265266507477,2,20,2
170,-1.77792660021871,-0.139908708194333,-1.88265266507477,1,20,2
180,-0.0811288331264143,-0.0737185431412519,-1.88265266507477,1,10,2
190,-0.528306833081339,-0.360700687219151,-1.88265266507477,0,20,2
200,-0.889008725180739,-0.879159831194781,-1.88265266507477,2,0,2
